BlockGroup,AvgReduxinNighttimeAnnualTemp_Celsius,PercentPopIncomeBelow2xPovertyLevel,Percent_GreenSpace,long,lat
3.71E+11,0.863888,33.16725979,75.94999695,-78.9079154,35.90560737
3.71E+11,0.870442,5.128205128,79.06999969,-78.83341244,35.9121195
3.71E+11,0.679444,30.11928429,62.88999939,-78.81342249,35.91422154
3.71E+11,0.255522,72.85499247,31.77000046,-78.90179059,35.99941187
3.71E+11,0.446123,73.11827957,52.09999847,-78.90391404,35.98836063
3.71E+11,0.26666,100,49.00999832,-78.89850212,35.98610664
3.71E+11,0.580532,30.24193548,62.56999969,-79.0900113,35.91176594
3.71E+11,0.492382,63.78539493,60.56999969,-79.08111188,35.91107436
3.71E+11,0.295515,72.19935985,50.43999863,-79.08161311,35.90530426
3.71E+11,0.755946,58.85111372,73.58000183,-79.07538607,35.90596098
3.71E+11,0.752905,35.63714903,78.05000305,-79.09037983,35.90070863
3.71E+11,0.930816,41.02449889,84.62999725,-79.08729273,35.8898653
3.71E+11,0.886934,29.17948718,80.41000366,-79.0893357,35.92108659
3.71E+11,0.909011,71.50621118,77.97000122,-79.07410599,35.92006031
3.71E+11,0.570457,35.91885442,65.01000214,-79.06878779,35.90787356
3.71E+11,0.53505,21.76870748,62.90000153,-79.07513353,35.91233007
3.71E+11,0.891951,6.512605042,85.08999634,-79.09523927,35.93695029
3.71E+11,1.139672,2.706843718,89.18000031,-79.08102088,35.93542729
3.71E+11,1.261831,68.65671642,93.43000031,-79.03389837,36.06519345
3.71E+11,1.054908,45.35232384,86.62000275,-79.01295215,36.02695298
3.71E+11,1.118158,23.00985595,88.43000031,-79.07882715,36.03370428
3.71E+11,0.816382,11.7396358,80.16999817,-79.08210287,36.09123666
3.71E+11,1.002335,34.99308437,84.41000366,-79.07583765,36.06802991
3.71E+11,0.751791,21.60278746,74.19999695,-79.10539222,36.07888479
3.71E+11,0.7655,41.82879377,71.06999969,-79.11123321,36.07347412
3.71E+11,0.99394,31.63716814,83.68000031,-79.13125081,36.07151326
3.71E+11,1.044536,50.9762533,84.37000275,-79.10887611,36.04834707
3.71E+11,1.046813,13.46085724,84.87999725,-79.09068678,35.95609831
3.71E+11,0.790019,4.362801378,71.33000183,-79.06672769,35.96510476
3.71E+11,0.747673,10.95768374,72.38999939,-79.03275312,35.96297023
3.71E+11,0.60679,44.22187982,55.29000092,-79.01109837,35.95095432
3.71E+11,0.822262,71.08585859,77.86000061,-79.06112661,35.91755449
3.71E+11,1.156149,22.75334608,87.76999664,-79.04590046,35.92656293
3.71E+11,0.675853,74.40510737,67.5,-79.05360914,35.91853932
3.71E+11,1.050435,35.59742191,81.23000336,-79.03439056,35.91428411
3.71E+11,0.467075,100,54.02999878,-79.05119511,35.91340217
3.71E+11,0.269164,100,33.09000015,-79.04965692,35.91021633
3.71E+11,0.486198,100,44.77999878,-79.04309904,35.90649278
3.71E+11,0.162987,100,21.93000031,-79.05008345,35.90494336
3.71E+11,0.416423,87.79495525,40.33000183,-79.04404864,35.90016694
3.71E+11,0.365415,60.57951482,50.93999863,-79.05896635,35.90965866
3.71E+11,0.924401,56.09756098,75.02999878,-79.05817906,35.89983487
3.71E+11,1.069609,63.97790055,88.97000122,-79.06651689,35.9405322
3.71E+11,1.077901,43.66341714,85.88999939,-79.06400732,35.92667699
3.71E+11,1.055529,12.75862069,84.83000183,-79.04872702,35.95583562
3.71E+11,1.222715,46.5392562,91.73000336,-79.04503341,35.94561257
3.71E+11,1.125369,34.82972136,87.62000275,-79.04858851,35.93800534
3.71E+11,0.903531,12.13235294,81.43000031,-79.02845695,35.9503089
3.71E+11,1.127758,11.03038309,86.54000092,-79.03369366,35.9380982
3.71E+11,0.642349,24.26653406,62.16999817,-79.01141515,35.9392307
3.71E+11,0.712859,22.52934495,65.62000275,-79.01733808,35.91323711
3.71E+11,0.496851,34.20647149,44.86000061,-79.02627327,35.93015239
3.71E+11,0.924341,10.71044133,76.77999878,-79.01341952,35.92652677
3.71E+11,0.998756,11.77474403,84.98999786,-79.0297625,35.88603298
3.71E+11,1.080361,16.33237822,87.51999664,-79.05435273,35.87047935
3.71E+11,0.916013,46.33792603,78.65000153,-79.06873474,35.89557033
3.71E+11,0.841606,15.0055991,73.27999878,-79.0741095,35.88745941
3.71E+11,0.790708,19.57943925,69.69000244,-79.07226721,35.87631929
